station_id,station_name,latitude,longitude,neighborhood
7580,Hillsdale Ave W / Yonge St,43.702967,-79.397907,Mid Town
7581,High Park Ave / Dundas St W,43.665303,-79.470118,Bloor St W - High Park
7582,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.437503,Eglinton Ave W
7583,Eglinton Ave W / Scarlett Rd,43.683470,-79.510894,Eglinton Ave W
7584,The Pond Rd / Sentinel Rd,43.769626,-79.502594,North York - York U
7587,Dufferin St / Finch Corridor Trail,43.772994,-79.467630,North York - York U
7588,G Ross Lord Park,43.778112,-79.467963,North York - York U
7589,Torresdale Ave / Antibes Dr,43.779530,-79.452330,North York - York U
7590,Esther Shiner Stadium,43.777437,-79.444710,North York - York U
7591,Elwood Blvd / Avenue Rd,43.707049,-79.409660,Mid Town
7593,Roehampton Ave / Bayview Ave,43.711751,-79.378615,Thorncliffe Park - Sunnybrook
7594,Fleming Cres / Bayview Ave,43.707045,-79.375437,Thorncliffe Park - Sunnybrook
7595,Moore Park,43.693256,-79.383238,Mid Town
7596,Langford Ave / Danforth Ave - SMART,43.680022,-79.340568,Danforth
7597,Yonge St / Golfdale Rd,43.732016,-79.403637,Thorncliffe Park - Sunnybrook
7598,Teddington Park Ave,43.732975,-79.404010,Thorncliffe Park - Sunnybrook
7599,Richmond St W / York St,43.650745,-79.383633,Financial District
7600,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,U of T - Hospital Row
7601,Brick Works,43.683884,-79.366470,Davenport - Dupont
7602,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,Danforth
7603,O'Connor Dr / Curity Ave,43.707582,-79.311439,Scarborough - St. Clair
7604,St. Columba Pl / St. Clair Ave E,43.705670,-79.310554,Scarborough - St. Clair
7605,Lumsden Ave / Eastdale Ave,43.694135,-79.300587,Danforth
7606,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,Danforth
7607,Fairmount Park,43.676590,-79.316302,Leslieville - Woodbine
7608,Wilket Creek Park,43.720645,-79.355474,Thorncliffe Park - Sunnybrook
7609,Sunnybrook Park,43.720233,-79.362092,Thorncliffe Park - Sunnybrook
7610,Kingston Rd / Beech Ave,43.680095,-79.291714,Leslieville - Woodbine
7611,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,Danforth
7612,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,Scarborough - Rouge Hill
7613,Livingston Rd (Highland Creek Trail),43.756168,-79.202669,Scarborough - Rouge Hill
7614,Morningside Park (Highland Creek Trail),43.779353,-79.193023,Scarborough - Rouge Hill
7615,Colonel Danforth Park,43.777711,-79.165971,Scarborough - Rouge Hill
7616,Waterfront Trail (Rouge Hill),43.778015,-79.131911,Scarborough - Rouge Hill
7617,Starspray Blvd / Lawrence Ave E,43.788525,-79.123184,Scarborough - Rouge Hill
7618,Vaughan Rd / Oakwood Ave,43.692682,-79.441042,Eglinton Ave W
7619,Braemar Ave / Eglinton Ave W,43.704196,-79.409447,Mid Town
7620,Eglinton Ave E / Redpath Ave,43.707869,-79.392480,Mid Town
7622,Marie Curtis Park,43.588077,-79.543207,Humber Bay Shores
7623,Royal York Rd / Lake Shore Blvd W,43.603385,-79.493105,Humber Bay Shores
7624,Guildwood GO Station (South),43.754978,-79.197129,Scarborough - Rouge Hill
7625,Yonge St / Lawrence Ave E,43.725141,-79.401026,Thorncliffe Park - Sunnybrook
7626,Rouge Hill GO Station,43.780550,-79.130120,Scarborough - Rouge Hill
7627,Shaw St / Essex St - SMART,43.667076,-79.425116,Davenport - Dupont
7629,Lundy Ave / Étienne Brûlé Park,43.662540,-79.503016,Bloor St W - High Park
7630,Twelfth St / Thirteenth St,43.600290,-79.510869,Humber Bay Shores
7631,Florence Gell Park,43.661966,-79.498511,Bloor St W - High Park
7632,Chiltern Hill Rd / Eglinton Ave W,43.700402,-79.427531,Eglinton Ave W
7633,Noble St / Queen St W,43.642269,-79.429210,Liberty Village - Queen West
7635,Runnymede Rd / Annette St,43.659630,-79.479918,Bloor St W - High Park
7636,Bloor St W / Riverside Dr,43.647663,-79.487583,Bloor St W - High Park
7637,Judson St / Royal York Rd,43.616272,-79.499036,Humber Bay Shores
7639,135 Queens Wharf Rd - SMART,43.639971,-79.399404,Fort York - Entertainment District
7640,Spadina Rd / St. Clair Ave W,43.683979,-79.410657,St Clair Ave W
7641,Annette St / Dundas St W,43.664117,-79.458852,Davenport - Dupont
7642,Yonge St / St. Clair Ave,43.688505,-79.394161,Mid Town
7643,Oriole Pkwy / Kilbarry Rd,43.695449,-79.402618,Mid Town
7644,East Lynn Ave / Danforth Ave,43.685081,-79.314990,Danforth
7645,University of Toronto Scarborough,43.784242,-79.184989,Scarborough - Rouge Hill
7646,University Ave / Richmond St W,43.649819,-79.386413,Financial District
7647,Elm St/ University Ave (East Side),43.656373,-79.387810,Valet Stations
7650,St. Clair West Subway Station - Heath St. W,43.686352,-79.415894,St Clair Ave W
7654,Bloor St W / Pacific Ave,43.654124,-79.463639,Bloor St W - High Park
7655,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,Danforth
7656,Bloor St W / Brock Ave,43.658988,-79.438715,Bloor St W / Annex
